Date,Total_Accident
28/05/2015,361
29/05/2015,370
30/05/2015,334
31/05/2015,277
01/06/2015,382
02/06/2015,400
03/06/2015,420
04/06/2015,464
05/06/2015,446
06/06/2015,381
07/06/2015,368
08/06/2015,427
09/06/2015,409
10/06/2015,448
11/06/2015,493
12/06/2015,431
13/06/2015,378
14/06/2015,288
15/06/2015,371
16/06/2015,383
17/06/2015,394
18/06/2015,405
19/06/2015,421
20/06/2015,333
21/06/2015,300
22/06/2015,418
23/06/2015,421
24/06/2015,391
25/06/2015,430
26/06/2015,462
27/06/2015,364
28/06/2015,304
29/06/2015,427
30/06/2015,499
01/07/2015,471
02/07/2015,467
03/07/2015,509
04/07/2015,391
05/07/2015,341
06/07/2015,409
07/07/2015,463
08/07/2015,412
09/07/2015,455
10/07/2015,452
11/07/2015,401
12/07/2015,359
13/07/2015,483
14/07/2015,365
15/07/2015,427
16/07/2015,396
17/07/2015,468
18/07/2015,372
19/07/2015,323
20/07/2015,410
21/07/2015,434
22/07/2015,377
23/07/2015,377
24/07/2015,463
25/07/2015,430
26/07/2015,359
27/07/2015,391
28/07/2015,359
29/07/2015,381
30/07/2015,378
31/07/2015,448
01/08/2015,364
02/08/2015,357
03/08/2015,350
04/08/2015,375
05/08/2015,351
06/08/2015,401
07/08/2015,423
08/08/2015,386
09/08/2015,350
10/08/2015,333
11/08/2015,389
12/08/2015,381
13/08/2015,364
14/08/2015,445
15/08/2015,359
16/08/2015,292
17/08/2015,330
18/08/2015,365
19/08/2015,415
20/08/2015,370
21/08/2015,386
22/08/2015,379
23/08/2015,340
24/08/2015,401
25/08/2015,415
26/08/2015,407
27/08/2015,377
28/08/2015,443
29/08/2015,341
30/08/2015,278
31/08/2015,303
01/09/2015,351
02/09/2015,411
03/09/2015,324
04/09/2015,369
05/09/2015,332
06/09/2015,325
07/09/2015,396
08/09/2015,362
09/09/2015,345
10/09/2015,467
11/09/2015,507
12/09/2015,400
13/09/2015,326
14/09/2015,452
15/09/2015,445
16/09/2015,437
17/09/2015,444
18/09/2015,425
19/09/2015,389
20/09/2015,320
21/09/2015,459
22/09/2015,429
23/09/2015,443
24/09/2015,452
25/09/2015,472
26/09/2015,369
27/09/2015,370
28/09/2015,451
29/09/2015,441
30/09/2015,488
01/10/2015,510
02/10/2015,524
03/10/2015,339
04/10/2015,324
05/10/2015,480
06/10/2015,503
07/10/2015,446
08/10/2015,429
09/10/2015,466
10/10/2015,309
11/10/2015,306
12/10/2015,399
13/10/2015,402
14/10/2015,465
15/10/2015,398
16/10/2015,391
17/10/2015,300
18/10/2015,268
19/10/2015,363
20/10/2015,431
21/10/2015,490
22/10/2015,384
23/10/2015,388
24/10/2015,357
25/10/2015,305
26/10/2015,396
27/10/2015,370
28/10/2015,415
29/10/2015,444
30/10/2015,443
31/10/2015,364
01/11/2015,348
02/11/2015,364
03/11/2015,399
04/11/2015,480
05/11/2015,535
06/11/2015,495
07/11/2015,393
08/11/2015,298
09/11/2015,396
10/11/2015,418
11/11/2015,406
12/11/2015,491
13/11/2015,513
14/11/2015,375
15/11/2015,264
16/11/2015,380
17/11/2015,423
18/11/2015,465
19/11/2015,410
20/11/2015,465
21/11/2015,398
22/11/2015,266
23/11/2015,421
24/11/2015,424
25/11/2015,430
26/11/2015,441
27/11/2015,492
28/11/2015,413
29/11/2015,302
30/11/2015,473
01/12/2015,438
02/12/2015,434
03/12/2015,459
04/12/2015,520
05/12/2015,325
06/12/2015,293
07/12/2015,436
08/12/2015,435
09/12/2015,466
10/12/2015,490
11/12/2015,491
12/12/2015,368
13/12/2015,285
14/12/2015,434
15/12/2015,495
16/12/2015,458
17/12/2015,412
18/12/2015,425
19/12/2015,344
20/12/2015,296
21/12/2015,410
22/12/2015,403
23/12/2015,428
24/12/2015,319
25/12/2015,180
26/12/2015,231
27/12/2015,259
28/12/2015,202
29/12/2015,301
30/12/2015,270
31/12/2015,323
01/01/2016,282
02/01/2016,251
03/01/2016,221
04/01/2016,349
05/01/2016,352
06/01/2016,388
07/01/2016,418
08/01/2016,484
09/01/2016,337
10/01/2016,261
11/01/2016,430
12/01/2016,444
13/01/2016,519
14/01/2016,498
15/01/2016,517
16/01/2016,369
17/01/2016,218
18/01/2016,387
19/01/2016,439
20/01/2016,479
21/01/2016,363
22/01/2016,445
23/01/2016,346
24/01/2016,245
25/01/2016,353
26/01/2016,386
27/01/2016,391
28/01/2016,468
29/01/2016,430
30/01/2016,352
31/01/2016,266
01/02/2016,328
02/02/2016,352
03/02/2016,417
04/02/2016,404
05/02/2016,433
06/02/2016,378
07/02/2016,292
08/02/2016,367
09/02/2016,425
10/02/2016,409
11/02/2016,496
12/02/2016,421
13/02/2016,326
14/02/2016,247
15/02/2016,399
16/02/2016,397
17/02/2016,398
18/02/2016,423
19/02/2016,413
20/02/2016,287
21/02/2016,239
22/02/2016,334
23/02/2016,395
24/02/2016,458
25/02/2016,399
26/02/2016,350
27/02/2016,251
28/02/2016,261
29/02/2016,358
01/03/2016,366
02/03/2016,450
03/03/2016,450
04/03/2016,460
05/03/2016,322
06/03/2016,263
07/03/2016,432
08/03/2016,341
09/03/2016,355
10/03/2016,383
11/03/2016,420
12/03/2016,307
13/03/2016,315
14/03/2016,384
15/03/2016,331
16/03/2016,374
17/03/2016,369
18/03/2016,377
19/03/2016,283
20/03/2016,257
21/03/2016,301
22/03/2016,331
23/03/2016,304
24/03/2016,447
25/03/2016,350
26/03/2016,278
27/03/2016,269
28/03/2016,243
29/03/2016,334
30/03/2016,361
31/03/2016,379
01/04/2016,306
02/04/2016,346
03/04/2016,277
04/04/2016,353
05/04/2016,309
06/04/2016,346
07/04/2016,304
08/04/2016,357
09/04/2016,323
10/04/2016,304
11/04/2016,336
12/04/2016,388
13/04/2016,343
14/04/2016,377
15/04/2016,425
16/04/2016,339
17/04/2016,267
18/04/2016,297
19/04/2016,447
20/04/2016,445
21/04/2016,392
22/04/2016,400
23/04/2016,332
24/04/2016,249
25/04/2016,347
26/04/2016,358
27/04/2016,400
28/04/2016,387
29/04/2016,465
30/04/2016,373
01/05/2016,278
02/05/2016,272
03/05/2016,413
04/05/2016,429
05/05/2016,421
06/05/2016,364
07/05/2016,383
08/05/2016,383
09/05/2016,417
10/05/2016,434
11/05/2016,406
12/05/2016,422
13/05/2016,391
14/05/2016,357
15/05/2016,292
16/05/2016,378
17/05/2016,351
18/05/2016,371
19/05/2016,373
20/05/2016,403
21/05/2016,321
22/05/2016,308
23/05/2016,383
24/05/2016,352
25/05/2016,363
26/05/2016,431
27/05/2016,453
28/05/2016,363
29/05/2016,339
30/05/2016,261
31/05/2016,370
01/06/2016,320
02/06/2016,336
03/06/2016,377
04/06/2016,300
05/06/2016,341
06/06/2016,449
07/06/2016,367
08/06/2016,398
09/06/2016,374
10/06/2016,452
11/06/2016,326
12/06/2016,277
13/06/2016,400
14/06/2016,392
15/06/2016,371
16/06/2016,418
17/06/2016,433
18/06/2016,298
19/06/2016,305
20/06/2016,437
21/06/2016,364
22/06/2016,375
23/06/2016,403
24/06/2016,420
25/06/2016,328
26/06/2016,311
27/06/2016,344
28/06/2016,382
29/06/2016,391
30/06/2016,357
01/07/2016,473
02/07/2016,362
03/07/2016,315
04/07/2016,336
05/07/2016,380
06/07/2016,393
07/07/2016,380
08/07/2016,442
09/07/2016,312
10/07/2016,356
11/07/2016,359
12/07/2016,407
13/07/2016,404
14/07/2016,424
15/07/2016,379
16/07/2016,348
17/07/2016,356
18/07/2016,455
19/07/2016,482
20/07/2016,452
21/07/2016,401
22/07/2016,392
23/07/2016,386
24/07/2016,308
25/07/2016,341
26/07/2016,350
27/07/2016,378
28/07/2016,350
29/07/2016,372
30/07/2016,362
31/07/2016,322
01/08/2016,369
02/08/2016,363
03/08/2016,350
04/08/2016,320
05/08/2016,429
